avg_candidates,avg_candidates_mode,avg_computations,avg_computations_mode,computation_max,computation_min,dataset,experiment_dir,index_overhead_mb,index_overhead_mode,index_size_mb,index_size_mode,method,probe_depth,qps,query_mem_delta_mb,query_mem_delta_mb_isolated,query_mem_delta_mode,query_mem_peak_delta_mb,query_mem_peak_rss_mb,query_mem_rss_after_mb,query_mem_rss_before_mb,recall_at_10,seed,serving_footprint_mb,serving_footprint_mode,train_s
44395.2458,avg_unique_candidate_vectors_per_query,44395.2458,avg_unique_candidate_vectors_per_query,48128.0,8456.0,deep1m,../experiments/adaptivf/deep1m/20260330-185204-477187_adaptivf_static_seed0,142.33410453796387,index_overhead_manifest,142.33410453796387,index_overhead_manifest,AdaptIVF-Static,10,45.16418473176283,33.54296875,33.54296875,isolated_subprocess_rss_delta,4724.921875,9981.0859375,5289.70703125,5256.1640625,0.8347400000000001,0,142.33410453796387,serving_footprint_manifest,397.94335700012743
45705.6552,avg_unique_candidate_vectors_per_query,45705.6552,avg_unique_candidate_vectors_per_query,48128.0,8718.0,deep1m,../experiments/adaptivf/deep1m/20260330-192109-731897_adaptivf_seed0,150.29891777038574,index_overhead_manifest,150.29891777038574,index_overhead_manifest,AdaptIVF,10,24.161492784308077,31.3359375,31.3359375,isolated_subprocess_rss_delta,4814.78125,10081.734375,5298.2890625,5266.953125,0.8246100000000001,0,150.29891777038574,serving_footprint_manifest,466.2762647960335
46917.0176,avg_unique_candidate_vectors_per_query,46917.0176,avg_unique_candidate_vectors_per_query,48128.0,8140.0,deep1m,../experiments/adaptivf/deep1m/20260330-195726-408612_adaptivf_a4_seed0,183.0120334625244,index_overhead_manifest,183.0120334625244,index_overhead_manifest,AdaptIVF-A4,10,16.849394260572698,30.05078125,30.05078125,isolated_subprocess_rss_delta,4850.13671875,10149.8359375,5329.75,5299.69921875,0.81513,0,183.0120334625244,serving_footprint_manifest,487.3279815353453
44387.0644,avg_unique_candidate_vectors_per_query,44387.0644,avg_unique_candidate_vectors_per_query,48128.0,7574.0,deep1m,../experiments/adaptivf/deep1m/20260330-203639-722226_adaptivf_staticppq_seed0,294.8496150970459,index_overhead_manifest,294.8496150970459,index_overhead_manifest,AdaptIVF-Static+PQ,10,4.502156285898986,15.02734375,15.02734375,isolated_subprocess_rss_delta,47594.78125,53005.5390625,5425.78515625,5410.7578125,0.8253799999999999,0,294.8496150970459,serving_footprint_manifest,1103.1027411408722
45664.0727,avg_unique_candidate_vectors_per_query,45664.0727,avg_unique_candidate_vectors_per_query,48128.0,7173.0,deep1m,../experiments/adaptivf/deep1m/20260330-224137-733676_adaptivfppq_seed0,302.72875022888184,index_overhead_manifest,302.72875022888184,index_overhead_manifest,AdaptIVF+PQ,10,4.58727504007675,17.40234375,17.40234375,isolated_subprocess_rss_delta,47600.4296875,53017.19921875,5434.171875,5416.76953125,0.8130400000000001,0,302.72875022888184,serving_footprint_manifest,1131.8746434058994
46870.0105,avg_unique_candidate_vectors_per_query,46870.0105,avg_unique_candidate_vectors_per_query,48128.0,6245.0,deep1m,../experiments/adaptivf/deep1m/20260331-004646-476805_adaptivf_a4ppq_seed0,335.7848606109619,index_overhead_manifest,335.7848606109619,index_overhead_manifest,AdaptIVF-A4+PQ,10,4.477424946991834,15.01953125,15.01953125,isolated_subprocess_rss_delta,47602.05078125,53051.89453125,5464.86328125,5449.84375,0.80489,0,335.7848606109619,serving_footprint_manifest,1137.8560253717005
18308.329,avg_unique_candidate_vectors_per_query,18308.329,avg_unique_candidate_vectors_per_query,19456.0,1326.0,gist,../experiments/adaptivf/gist/20260330-172534-454002_adaptivf_static_seed0,17.82131004333496,index_overhead_manifest,17.82131004333496,index_overhead_manifest,AdaptIVF-Static,10,21.06614493946335,34.703125,34.703125,isolated_subprocess_rss_delta,4378.625,12778.01171875,8434.08984375,8399.38671875,0.6727000000000001,0,17.82131004333496,serving_footprint_manifest,458.4380290005356
19008.611,avg_unique_candidate_vectors_per_query,19008.611,avg_unique_candidate_vectors_per_query,19456.0,923.0,gist,../experiments/adaptivf/gist/20260330-173722-024717_adaptivf_seed0,17.863813400268555,index_overhead_manifest,17.863813400268555,index_overhead_manifest,AdaptIVF,10,19.698190617062302,34.41796875,34.41796875,isolated_subprocess_rss_delta,4421.828125,12820.91796875,8433.5078125,8399.08984375,0.5757000000000001,0,17.863813400268555,serving_footprint_manifest,513.1417149137706
19152.567,avg_unique_candidate_vectors_per_query,19152.567,avg_unique_candidate_vectors_per_query,19456.0,4003.0,gist,../experiments/adaptivf/gist/20260330-175017-290286_adaptivf_a4_seed0,21.0221004486084,index_overhead_manifest,21.0221004486084,index_overhead_manifest,AdaptIVF-A4,10,18.207994531681216,28.76171875,28.76171875,isolated_subprocess_rss_delta,4440.609375,12843.33984375,8431.4921875,8402.73046875,0.5814000000000001,0,21.0221004486084,serving_footprint_manifest,502.9964439999312
18306.578,avg_unique_candidate_vectors_per_query,18306.578,avg_unique_candidate_vectors_per_query,19456.0,1481.0,gist,../experiments/adaptivf/gist/20260330-180307-641349_adaptivf_staticppq_seed0,34.05169486999512,index_overhead_manifest,34.05169486999512,index_overhead_manifest,AdaptIVF-Static+PQ,10,9.50283943058859,8.79296875,8.79296875,isolated_subprocess_rss_delta,9361.92578125,17776.359375,8423.2265625,8414.43359375,0.5611,0,34.05169486999512,serving_footprint_manifest,462.3235163204372
19031.098,avg_unique_candidate_vectors_per_query,19031.098,avg_unique_candidate_vectors_per_query,19456.0,1033.0,gist,../experiments/adaptivf/gist/20260330-181842-558246_adaptivfppq_seed0,34.016279220581055,index_overhead_manifest,34.016279220581055,index_overhead_manifest,AdaptIVF+PQ,10,8.839950580864084,7.9765625,7.9765625,isolated_subprocess_rss_delta,9371.3359375,17786.38671875,8423.02734375,8415.05078125,0.47059999999999996,0,34.016279220581055,serving_footprint_manifest,510.873660184443
19161.438,avg_unique_candidate_vectors_per_query,19161.438,avg_unique_candidate_vectors_per_query,19456.0,1823.0,gist,../experiments/adaptivf/gist/20260330-183522-330967_adaptivf_a4ppq_seed0,37.204477310180664,index_overhead_manifest,37.204477310180664,index_overhead_manifest,AdaptIVF-A4+PQ,10,8.966495624063924,9.2265625,9.2265625,isolated_subprocess_rss_delta,9382.29296875,17799.84375,8426.77734375,8417.55078125,0.4797,0,37.204477310180664,serving_footprint_manifest,518.0485776625574
21042.07,avg_unique_candidate_vectors_per_query,21042.07,avg_unique_candidate_vectors_per_query,22528.0,5169.0,glove,../experiments/adaptivf/glove/20260330-144815-191932_adaptivf_static_seed0,18.296384811401367,index_overhead_manifest,18.296384811401367,index_overhead_manifest,AdaptIVF-Static,10,78.17747142557769,12.96875,12.96875,isolated_subprocess_rss_delta,1160.7421875,3073.40234375,1925.62890625,1912.66015625,0.7341000000000001,0,18.296384811401367,serving_footprint_manifest,300.52803137525916
21401.314,avg_unique_candidate_vectors_per_query,21401.314,avg_unique_candidate_vectors_per_query,22528.0,5097.0,glove,../experiments/adaptivf/glove/20260330-145427-815719_adaptivf_seed0,19.311140060424805,index_overhead_manifest,19.311140060424805,index_overhead_manifest,AdaptIVF,10,60.96490076831715,12.1953125,12.1953125,isolated_subprocess_rss_delta,1187.59375,3100.41015625,1925.01171875,1912.81640625,0.7425,0,19.311140060424805,serving_footprint_manifest,324.51108020730317
21818.886,avg_unique_candidate_vectors_per_query,21818.886,avg_unique_candidate_vectors_per_query,22528.0,4739.0,glove,../experiments/adaptivf/glove/20260330-150106-217504_adaptivf_a4_seed0,23.33839988708496,index_overhead_manifest,23.33839988708496,index_overhead_manifest,AdaptIVF-A4,10,64.00423248813901,20.5,20.5,isolated_subprocess_rss_delta,1215.55078125,3132.30078125,1937.25,1916.75,0.735,0,23.33839988708496,serving_footprint_manifest,325.6390211880207
20997.903,avg_unique_candidate_vectors_per_query,20997.903,avg_unique_candidate_vectors_per_query,22528.0,5245.0,glove,../experiments/adaptivf/glove/20260330-150748-038923_adaptivf_staticppq_seed0,36.469953536987305,index_overhead_manifest,36.469953536987305,index_overhead_manifest,AdaptIVF-Static+PQ,10,7.03474623801216,8.72265625,8.72265625,isolated_subprocess_rss_delta,6937.625,8867.80859375,1938.90625,1930.18359375,0.6825999999999999,0,36.469953536987305,serving_footprint_manifest,291.09322840720415
21450.584,avg_unique_candidate_vectors_per_query,21450.584,avg_unique_candidate_vectors_per_query,22528.0,4644.0,glove,../experiments/adaptivf/glove/20260330-151934-761207_adaptivfppq_seed0,37.48205375671387,index_overhead_manifest,37.48205375671387,index_overhead_manifest,AdaptIVF+PQ,10,7.42033878843755,9.140625,9.140625,isolated_subprocess_rss_delta,6938.55078125,8869.8515625,1940.44140625,1931.30078125,0.6936,0,37.48205375671387,serving_footprint_manifest,325.37086472287774
21885.807,avg_unique_candidate_vectors_per_query,21885.807,avg_unique_candidate_vectors_per_query,22528.0,5426.0,glove,../experiments/adaptivf/glove/20260330-153132-461560_adaptivf_a4ppq_seed0,41.52728843688965,index_overhead_manifest,41.52728843688965,index_overhead_manifest,AdaptIVF-A4+PQ,10,7.240487246751025,11.140625,11.140625,isolated_subprocess_rss_delta,6956.6796875,8893.28125,1947.7421875,1936.6015625,0.6798,0,41.52728843688965,serving_footprint_manifest,316.5598610676825
16264.172,avg_unique_candidate_vectors_per_query,16264.172,avg_unique_candidate_vectors_per_query,19456.0,2963.0,sift,../experiments/adaptivf/sift/20260330-154329-666055_adaptivf_static_seed0,15.107229232788086,index_overhead_manifest,15.107229232788086,index_overhead_manifest,AdaptIVF-Static,10,113.97255763653583,16.8515625,16.8515625,isolated_subprocess_rss_delta,1180.9296875,3230.796875,2066.71875,2049.8671875,0.8750800000000001,0,15.107229232788086,serving_footprint_manifest,303.7650313936174
17419.1798,avg_unique_candidate_vectors_per_query,17419.1798,avg_unique_candidate_vectors_per_query,19456.0,1880.0,sift,../experiments/adaptivf/sift/20260330-155202-194051_adaptivf_seed0,15.766180038452148,index_overhead_manifest,15.766180038452148,index_overhead_manifest,AdaptIVF,10,99.59565930112065,17.26171875,17.26171875,isolated_subprocess_rss_delta,1224.44921875,3274.75390625,2067.56640625,2050.3046875,0.81726,0,15.766180038452148,serving_footprint_manifest,321.3586674146354
18209.0239,avg_unique_candidate_vectors_per_query,18209.0239,avg_unique_candidate_vectors_per_query,19456.0,3264.0,sift,../experiments/adaptivf/sift/20260330-160125-461955_adaptivf_a4_seed0,18.7785701751709,index_overhead_manifest,18.7785701751709,index_overhead_manifest,AdaptIVF-A4,10,88.19032565440554,17.5390625,17.5390625,isolated_subprocess_rss_delta,1254.34375,3307.9140625,2071.109375,2053.5703125,0.80391,0,18.7785701751709,serving_footprint_manifest,326.2757648136467
16227.5586,avg_unique_candidate_vectors_per_query,16227.5586,avg_unique_candidate_vectors_per_query,19456.0,2927.0,sift,../experiments/adaptivf/sift/20260330-161115-663838_adaptivf_staticppq_seed0,30.466962814331055,index_overhead_manifest,30.466962814331055,index_overhead_manifest,AdaptIVF-Static+PQ,10,19.697163989629292,9.62109375,9.62109375,isolated_subprocess_rss_delta,5297.54296875,7362.65625,2074.734375,2065.11328125,0.8720599999999998,0,30.466962814331055,serving_footprint_manifest,299.00102235376835
17493.077,avg_unique_candidate_vectors_per_query,17493.077,avg_unique_candidate_vectors_per_query,19456.0,1923.0,sift,../experiments/adaptivf/sift/20260330-163528-608294_adaptivfppq_seed0,31.160741806030273,index_overhead_manifest,31.160741806030273,index_overhead_manifest,AdaptIVF+PQ,10,19.68073586118976,10.88671875,10.88671875,isolated_subprocess_rss_delta,5314.68359375,7380.296875,2076.5,2065.61328125,0.81486,0,31.160741806030273,serving_footprint_manifest,328.8107179645449
18123.6229,avg_unique_candidate_vectors_per_query,18123.6229,avg_unique_candidate_vectors_per_query,19456.0,3227.0,sift,../experiments/adaptivf/sift/20260330-170015-464953_adaptivf_a4ppq_seed0,33.993974685668945,index_overhead_manifest,33.993974685668945,index_overhead_manifest,AdaptIVF-A4+PQ,10,18.801493375856865,11.51953125,11.51953125,isolated_subprocess_rss_delta,5345.8671875,7413.37890625,2079.03125,2067.51171875,0.8074399999999999,0,33.993974685668945,serving_footprint_manifest,318.4145683776587
